# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 5571447865
#
# Overhead  Command          Shared Object       Symbol                                    
# ........  ...............  ..................  ..........................................
#
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000790673
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782d30
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000785470
     0.06%  GC Thread#1      libjvm.so           [.] 0x00000000007851d0
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000795a2d
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000785247
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782d55
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782cc2
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000a0d687
     0.05%  GC Thread#1      libjvm.so           [.] 0x0000000000786f51
     0.05%  java             libjvm.so           [.] 0x0000000000d147b7
     0.05%  GC Thread#2      libjvm.so           [.] 0x000000000078523a
     0.05%  GC Thread#1      libjvm.so           [.] 0x0000000000782ead
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c6842b9d4
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000795a2a
     0.05%  G1 Conc#0        libjvm.so           [.] 0x00000000007487cd
     0.05%  G1 Conc#0        libjvm.so           [.] 0x000000000080eccc
     0.05%  GC Thread#2      libjvm.so           [.] 0x0000000000782d64
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000786f39
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000785470
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000a0d687
     0.05%  GC Thread#3      libjvm.so           [.] 0x0000000000782f34
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000785215
     0.05%  GC Thread#1      libjvm.so           [.] 0x00000000007954c9
     0.05%  GC Thread#3      libjvm.so           [.] 0x00000000007852a0
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000790681
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000782eca
     0.05%  java             libc-2.30.so        [.] __memset_avx2_unaligned_erms
     0.05%  GC Thread#2      libjvm.so           [.] 0x00000000007954a0
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c6842b93d
     0.05%  GC Thread#1      libjvm.so           [.] 0x000000000078520c
     0.05%  GC Thread#0      libjvm.so           [.] 0x00000000007851e0
     0.05%  C1 CompilerThre  ld-2.30.so          [.] __tls_get_addr
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000790673
     0.05%  GC Thread#0      libjvm.so           [.] 0x00000000007853a0
     0.05%  G1 Conc#0        libjvm.so           [.] 0x000000000074df80
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c60974598
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c6842b649
     0.05%  GC Thread#0      libjvm.so           [.] 0x00000000007870d3
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c6842bbe8
     0.05%  GC Thread#2      libjvm.so           [.] 0x0000000000795533
     0.05%  GC Thread#1      libjvm.so           [.] 0x00000000007954a0
     0.05%  GC Thread#1      libjvm.so           [.] 0x000000000078540d
     0.05%  GC Thread#0      libjvm.so           [.] 0x00000000007853b2
     0.05%  G1 Refine#0      libjvm.so           [.] 0x000000000080ec91
     0.05%  GC Thread#1      libjvm.so           [.] 0x0000000000795a10
     0.05%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817f83
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000782cc2
     0.05%  java             libjimage.so        [.] 0x0000000000003a1f
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c6842b62a
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c60969cb5
     0.05%  GC Thread#1      libjvm.so           [.] 0x0000000000782d49
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c6842b45b
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000795533
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c60974569
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000786f85
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c6842b9b0
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c6842bb04
     0.05%  GC Thread#1      libjvm.so           [.] 0x0000000000785470
     0.05%  java             [JIT] tid 29344     [.] 0x00007f7c60974440
     0.05%  GC Thread#1      libjvm.so           [.] 0x000000000078523a
     0.05%  GC Thread#3      libjvm.so           [.] 0x00000000007851e0
     0.05%  GC Thread#1      libjvm.so           [.] 0x00000000007852f0
     0.05%  GC Thread#3      libjvm.so           [.] 0x0000000000790673
     0.05%  GC Thread#3      libjvm.so           [.] 0x000000000078543d
     0.05%  GC Thread#2      libjvm.so           [.] 0x00000000007853b2
     0.05%  GC Thread#2      libjvm.so           [.] 0x0000000000787058
     0.05%  GC Thread#0      libjvm.so           [.] 0x0000000000785317
     0.05%  C2 CompilerThre  [unknown]           [k] 0xffffffff9ea00b07
     0.05%  GC Thread#2      libjvm.so           [.] 0x0000000000786fc0
     0.05%  java             libjvm.so           [.] 0x0000000000d147d1
     0.05%  GC Thread#3      libjvm.so           [.] 0x00000000007853a0
     0.05%  GC Thread#2      libjvm.so           [.] 0x00000000007852f0
     0.05%  GC Thread#2      libjvm.so           [.] 0x00000000007954aa
     0.05%  GC Thread#1      libjvm.so           [.] 0x0000000000782eca
     0.05%  GC Thread#3      libjvm.so           [.] 0x0000000000782d49
     0.05%  GC Thread#2      libjvm.so           [.] 0x00000000007854ab
     0.05%  java             libjvm.so           [.] 0x0000000000424892
     0.05%  G1 Refine#0      libjvm.so           [.] 0x00000000004724cb
     0.05%  GC Thread#0      libjvm.so           [.] 0x00000000007851d7
     0.05%  GC Thread#2      libjvm.so           [.] 0x0000000000785498
     0.05%  GC Thread#2      libjvm.so           [.] 0x0000000000795a00
     0.05%  GC Thread#1      libjvm.so           [.] 0x0000000000795b7a
     0.05%  GC Thread#1      libjvm.so           [.] 0x0000000000786fc0
     0.05%  GC Thread#2      libjvm.so           [.] 0x0000000000785412
